"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 04 09:35:34 GMT 2025","Fri Jul 04 09:35:39 GMT 2025","4975","","Login Functionality","","Login Functionality","Failed login with valid username and empty password","Failed login with valid username and empty password",""
"skipped","Fri Jul 04 09:35:29 GMT 2025","Fri Jul 04 09:35:34 GMT 2025","4964","","Login Functionality","","Failed login with excessively long username","","Failed login with excessively long username",""
"skipped","Fri Jul 04 09:35:05 GMT 2025","Fri Jul 04 09:35:19 GMT 2025","14039","","Login Functionality","","Successful login with valid credentials","","Successful login with valid credentials",""
"broken","Fri Jul 04 09:35:05 GMT 2025","Fri Jul 04 09:35:19 GMT 2025","14278","","Login Functionality","","Login Functionality","Successful login with valid credentials","Successful login with valid credentials",""
"broken","Fri Jul 04 09:35:29 GMT 2025","Fri Jul 04 09:35:34 GMT 2025","4972","","Login Functionality","","Login Functionality","Failed login with excessively long username","Failed login with excessively long username",""
"broken","Fri Jul 04 09:35:24 GMT 2025","Fri Jul 04 09:35:29 GMT 2025","4967","","Login Functionality","","Login Functionality","Failed login with empty fields","Failed login with empty fields",""
"skipped","Fri Jul 04 09:35:24 GMT 2025","Fri Jul 04 09:35:29 GMT 2025","4959","","Login Functionality","","Failed login with empty fields","","Failed login with empty fields",""
"skipped","Fri Jul 04 09:35:19 GMT 2025","Fri Jul 04 09:35:24 GMT 2025","5154","","Login Functionality","","Failed login with invalid credentials","","Failed login with invalid credentials",""
"broken","Fri Jul 04 09:35:19 GMT 2025","Fri Jul 04 09:35:24 GMT 2025","5164","","Login Functionality","","Login Functionality","Failed login with invalid credentials","Failed login with invalid credentials",""
"skipped","Fri Jul 04 09:35:34 GMT 2025","Fri Jul 04 09:35:39 GMT 2025","4967","","Login Functionality","","Failed login with valid username and empty password","","Failed login with valid username and empty password",""
